"","Var1","Var2","value"
"278",2003,17,"  0.038"
"279",2004,17,"  0.055"
"280",2005,17,"  0.033"
"281",2006,17,"  0.054"
"282",2007,17,"  0.054"
"283",2008,17,"  0.054"
"284",2009,17,"  0.243"
"285",2010,17,"  0.242"
"286",2011,17,"  0.173"
"287",2012,17,"  0.179"
"288",2013,17,"  0.246"
"289",NA,17,NA
"290",NA,18,"Бурзянский район"
"291",1999,18,NA
"292",2000,18,NA
"293",2001,18,NA
"294",2002,18,NA
"295",2003,18,NA
"296",2004,18,NA
"297",2005,18,"  0.038"
"298",2006,18,NA
"299",2007,18,NA
"300",2008,18,NA
"301",2009,18,NA
"302",2010,18,NA
"303",2011,18,NA
"304",2012,18,NA
"305",2013,18,NA
"306",NA,18,NA
"307",NA,19,"Гафурийский р-он"
"308",1999,19,"  0.285"
"309",2000,19,"  0.328"
"310",2001,19," 0.451"
"311",2002,19,"  0.398"
"312",2003,19,"  0.394"
"313",2004,19,"  0.377"
"314",2005,19,"  0.420"
"315",2006,19,"  0.331"
"316",2007,19,"  0.313"
"317",2008,19,"  0.305"
"318",2009,19,"  0.319"
"319",2010,19,"  0.336"
"320",2011,19,"  0.298"
"321",2012,19,"  0.274"
"322",2013,19,"  0.265"
"323",NA,19,NA
"324",NA,20,"Давлекановский р-он"
"325",1999,20,NA
"326",2000,20,NA
"327",2001,20," 1.496"
"328",2002,20,"  0.885"
"329",2003,20,"  0.787"
"330",2004,20,NA
"331",2005,20,"  0.639"
"332",2006,20,"  0.219"
"333",2007,20,NA
"334",2008,20,NA
"335",2009,20,NA
"336",2010,20,NA
"337",2011,20,NA
"338",2012,20,NA
"339",2013,20,NA
"340",NA,20,NA
"341",NA,21,"Дуванский р-он"
"342",1999,21,"  0.686"
"343",2000,21,"  0.689"
"344",2001,21," 0.527"
"345",2002,21,"  0.558"
"346",2003,21,"  0.442"
"347",2004,21,"  0.337"
"348",2005,21,"  0.421"
"349",2006,21,"  0.440"
"350",2007,21,"  0.272"
"351",2008,21,"  0.254"
"352",2009,21,"  0.273"
"353",2010,21,"  0.228"
"354",2011,21,"  0.266"
"355",2012,21,"  0.549"
"356",2013,21,"  3.317"
"357",NA,21,NA
"358",NA,22,"Дюртюлинский р-он"
"359",1999,22," 12.162"
"360",2000,22," 12.518"
"361",2001,22," 6.535"
"362",2002,22,"  8.386"
"363",2003,22,"  7.001"
"364",2004,22,"  8.943"
"365",2005,22,"  7.750"
"366",2006,22,"  7.617"
"367",2007,22," 12.104"
"368",2008,22," 12.314"
"369",2009,22," 12.537"
"370",2010,22,"  9.771"
"371",2011,22," 11.560"
"372",2012,22," 11.307"
"373",2013,22," 18.835"
"374",NA,22,NA
"375",NA,23,"Ермекеевский  р-он"
"376",1999,23,"  0.171"
"377",2000,23,"  0.158"
"378",2001,23," 0.140"
"379",2002,23,"  0.203"
"380",2003,23,"  0.227"
"381",2004,23,"  0.229"
"382",2005,23,"  0.236"
"383",2006,23,"  0.267"
"384",2007,23,"  0.289"
"385",2008,23,"  0.289"
"386",2009,23,"  0.263"
"387",2010,23,"  0.210"
"388",2011,23,"  0.576"
"389",2012,23,"  0.716"
"390",2013,23,"  0.402"
"391",NA,23,NA
"392",NA,24,"Зианчуринский о-он"
"393",1999,24,"  0.103"
"394",2000,24,"  0.105"
"395",2001,24,NA
"396",2002,24,NA
"397",2003,24,NA
"398",2004,24,NA
"399",2005,24,"  0.058"
"400",2006,24,NA
"401",2007,24,"  0.096"
"402",2008,24,"  0.096"
"403",2009,24,"  0.086"
"404",2010,24,"  0.030"
"405",2011,24,"  0.027"
"406",2012,24,"  0.034"
"407",2013,24,"  0.028"
"408",NA,24,NA
"409",NA,25,"Зилаирский район"
"410",1999,25,NA
"411",2000,25,NA
"412",2001,25,NA
"413",2002,25,NA
"414",2003,25,NA
"415",2004,25,NA
"416",2005,25,"  0.048"
"417",2006,25,NA
"418",2007,25,NA
"419",2008,25,NA
"420",2009,25,NA
"421",2010,25,NA
"422",2011,25,NA
"423",2012,25,NA
"424",2013,25,"  0.037"
"425",NA,25,NA
"426",NA,26,"Иглинский р-он"
"427",1999,26,"  0.499"
"428",2000,26,"  0.494"
"429",2001,26," 0.422"
"430",2002,26,"  0.332"
"431",2003,26,"  0.286"
"432",2004,26,"  0.145"
"433",2005,26,"  0.914"
"434",2006,26,"  1.075"
"435",2007,26,"  1.070"
"436",2008,26,"  1.065"
"437",2009,26,"  1.867"
"438",2010,26,"  1.859"
"439",2011,26,"  1.664"
"440",2012,26,"  1.578"
"441",2013,26,"  2.070"
"442",NA,26,NA
"443",NA,27,"Илишевский р-он"
"444",1999,27,"  0.156"
"445",2000,27,"  0.200"
"446",2001,27," 0.252"
"447",2002,27,"  0.233"
"448",2003,27,"  0.214"
"449",2004,27,"  0.215"
"450",2005,27,"  0.199"
"451",2006,27,"  1.489"
"452",2007,27,"  1.505"
"453",2008,27,"  1.505"
"454",2009,27,"  2.269"
"455",2010,27,"  2.295"
"456",2011,27,"  3.589"
"457",2012,27,"  6.203"
"458",2013,27,"  6.705"
"459",NA,27,NA
"460",NA,28,"Ишимбайский район"
"461",1999,28,NA
"462",2000,28,NA
"463",2001,28,NA
"464",2002,28,NA
"465",2003,28,NA
"466",2004,28,NA
"467",2005,28,"  0.224"
"468",2006,28,NA
"469",2007,28,NA
"470",2008,28,"  0.141"
"471",2009,28,"  0.299"
"472",2010,28,"  0.308"
"473",2011,28,"  0.222"
"474",2012,28,"  0.262"
"475",2013,28,"  0.278"
"476",NA,28,NA
"477",NA,29,"Калтасинский  р-он"
"478",1999,29,"  0.512"
"479",2000,29,"  0.559"
"480",2001,29," 0.972"
"481",2002,29,"  0.707"
"482",2003,29,"  0.664"
"483",2004,29,"  0.660"
"484",2005,29,"  0.641"
"485",2006,29,"  1.072"
"486",2007,29,"  1.705"
"487",2008,29,"  2.433"
"488",2009,29,"  1.671"
"489",2010,29,"  1.812"
"490",2011,29,"  2.010"
"491",2012,29,"  2.727"
"492",2013,29,"  3.743"
"493",NA,29,NA
"494",NA,30,"Караидельский р-он"
"495",1999,30,NA
"496",2000,30,NA
"497",2001,30," 0.258"
"498",2002,30,"  0.163"
"499",2003,30,"  0.146"
"500",2004,30,"  0.121"
"501",2005,30,"  0.121"
"502",2006,30,"  0.117"
"503",2007,30,"  0.120"
"504",2008,30,"  0.120"
"505",2009,30,"  0.110"
"506",2010,30,"  0.101"
"507",2011,30,"  0.100"
"508",2012,30,"  0.035"
"509",2013,30,"  0.058"
"510",NA,30,NA
"511",NA,31,"Кармаскалинский р-он"
"512",1999,31,"  2.795"
"513",2000,31,"  3.974"
"514",2001,31," 1.478"
"515",2002,31,"  1.409"
"516",2003,31,"  1.396"
"517",2004,31,"  1.969"
"518",2005,31,"  2.105"
"519",2006,31,"  2.209"
"520",2007,31,"  2.618"
"521",2008,31,"  2.618"
"522",2009,31,"  6.402"
"523",2010,31,"  6.115"
"524",2011,31,"  4.960"
"525",2012,31,"  1.430"
"526",2013,31,"  6.831"
"527",NA,31,NA
"528",NA,32,"Кигинский р-он"
"529",1999,32,"  0.061"
"530",2000,32,"  0.060"
"531",2001,32," 0.077"
"532",2002,32,"  0.104"
"533",2003,32,NA
"534",2004,32,"  0.107"
"535",2005,32,"  0.124"
"536",2006,32,"  0.084"
"537",2007,32,"  0.051"
"538",2008,32,"  0.013"
"539",2009,32,"  0.044"
"540",2010,32,"  0.041"
"541",2011,32,NA
"542",2012,32,"  0.037"
"543",2013,32,NA
"544",NA,32,NA
"545",NA,33,"Краснокамский р-он"
"546",1999,33,"  7.719"
"547",2000,33,"  4.545"
"548",2001,33," 1.762"
"549",2002,33,"  1.752"
"550",2003,33,"  1.734"
"551",2004,33,"  1.660"
"552",2005,33,"  1.641"
"553",2006,33,"  2.009"
"554",2007,33,"  1.944"
"555",2008,33,"  1.220"
"556",2009,33,"  3.540"
"557",2010,33,"  4.100"
"558",2011,33,"  6.154"
"559",2012,33,"  8.839"
"560",2013,33,"  7.580"
"561",NA,33,NA
"562",NA,34,"Кугарчинский р-он"
"563",1999,34,NA
"564",2000,34,NA
"565",2001,34,NA
"566",2002,34,NA
"567",2003,34,NA
"568",2004,34,"  0.072"
"569",2005,34,"  0.133"
"570",2006,34,"  0.174"
"571",2007,34,"  0.156"
"572",2008,34,"  0.155"
"573",2009,34,"  0.072"
"574",2010,34,"  0.048"
"575",2011,34,"  0.109"
"576",2012,34,"  0.077"
"577",2013,34,"  0.091"
"578",NA,34,NA
"579",NA,35,"Кумертауский р-он"
"580",1999,35,NA
"581",2000,35,NA
"582",2001,35," 9.131"
"583",2002,35,"  3.873"
"584",2003,35,"  4.235"
"585",2004,35," 13.455"
"586",2005,35," 16.664"
"587",2006,35," 15.036"
"588",2007,35,"  4.797"
"589",2008,35,"  4.797"
"590",2009,35,"  8.514"
"591",2010,35,"  6.261"
"592",2011,35,"  4.846"
"593",2012,35,"  4.683"
"594",2013,35,"  3.991"
"595",NA,35,NA
"596",NA,36,"Кушнаренковский р-он"
"597",1999,36,"  0.118"
"598",2000,36,"  0.095"
"599",2001,36," 0.138"
"600",2002,36,"  0.116"
"601",2003,36,"  0.090"
"602",2004,36,"  0.087"
"603",2005,36,"  0.386"
"604",2006,36,"  0.544"
"605",2007,36,"  0.502"
"606",2008,36,"  0.502"
"607",2009,36,"  1.207"
"608",2010,36,"  1.212"
"609",2011,36,"  1.758"
"610",2012,36,"  3.277"
"611",2013,36,"  3.903"
"612",NA,36,NA
"613",NA,37,"Мелеузовский р-он"
"614",1999,37,NA
"615",2000,37,NA
"616",2001,37," 2.252"
"617",2002,37,"  2.272"
"618",2003,37,"  3.138"
"619",2004,37,"  2.921"
"620",2005,37,"  2.324"
"621",2006,37,NA
"622",2007,37,"  3.314"
"623",2008,37,NA
"624",2009,37,"  4.007"
"625",2010,37,"  3.785"
"626",2011,37,"  3.898"
"627",2012,37,"  4.850"
"628",2013,37,"  5.261"
"629",NA,37,NA
"630",NA,38,"Мечетлинский р-он"
"631",1999,38,"  0.155"
"632",2000,38,"  0.214"
"633",2001,38," 0.165"
"634",2002,38,"  0.166"
"635",2003,38,"  0.110"
"636",2004,38,"  0.122"
"637",2005,38,"  0.482"
"638",2006,38,"  0.470"
"639",2007,38,"  0.510"
"640",2008,38,"  0.510"
"641",2009,38,"  0.097"
"642",2010,38,"  0.106"
"643",2011,38,"  0.123"
"644",2012,38,"  0.071"
"645",2013,38,"  0.058"
"646",NA,38,NA
