"","Var1","Var2","value"
"864",2011,51,"  1.155"
"865",2012,51,"  1.044"
"866",2013,51,"  1.154"
"867",NA,51,NA
"868",NA,52,"Чишминский р-он"
"869",1999,52,"  0.795"
"870",2000,52,"  0.818"
"871",2001,52," 0.861"
"872",2002,52,"  0.829"
"873",2003,52,"  0.782"
"874",2004,52,"  0.710"
"875",2005,52,"  2.063"
"876",2006,52,"  2.006"
"877",2007,52,"  2.011"
"878",2008,52,"  2.004"
"879",2009,52,"  0.756"
"880",2010,52,"  0.622"
"881",2011,52,"  1.031"
"882",2012,52,"  0.533"
"883",2013,52,"  3.172"
"884",NA,52,NA
"885",NA,53,"Шаранский р-он"
"886",1999,53,"  4.237"
"887",2000,53,"  4.985"
"888",2001,53," 3.542"
"889",2002,53,"  3.759"
"890",2003,53,"  3.857"
"891",2004,53,"  3.544"
"892",2005,53,"  5.143"
"893",2006,53," 10.583"
"894",2007,53," 10.639"
"895",2008,53," 10.599"
"896",2009,53," 11.985"
"897",2010,53," 13.891"
"898",2011,53," 24.550"
"899",2012,53,"  9.162"
"900",2013,53," 10.428"
"901",NA,53,NA
"902",NA,54,"Янаульский район"
"903",1999,54,NA
"904",2000,54,NA
"905",2001,54,NA
"906",2002,54,NA
"907",2003,54,NA
"908",2004,54,NA
"909",2005,54," 16.759"
"910",2006,54,NA
"911",2007,54,NA
"912",2008,54,NA
"913",2009,54,NA
"914",2010,54,NA
"915",2011,54,NA
"916",2012,54,NA
"917",2013,54,NA
"918",NA,54,NA
"919",NA,55,"Уфа"
"920",1999,55,"190.773"
"921",2000,55,"193.938"
"922",2001,55,NA
"923",2002,55,"175.876"
"924",2003,55,"192.413"
"925",2004,55,"158.119"
"926",2005,55,"157.304"
"927",2006,55,"153.048"
"928",2007,55,"154.133"
"929",2008,55,"150.909"
"930",2009,55,"141.579"
"931",2010,55,"134.092"
"932",2011,55,"132.212"
"933",2012,55,"134.407"
"934",2013,55,"146.637"
"935",NA,55,NA
"936",NA,56,"Агидель"
"937",1999,56,"  1.098"
"938",2000,56,"  2.144"
"939",2001,56," 2.436"
"940",2002,56,"  2.264"
"941",2003,56,"  2.030"
"942",2004,56,"  0.228"
"943",2005,56,"  0.217"
"944",2006,56,"  0.151"
"945",2007,56,"  0.131"
"946",2008,56,"  0.189"
"947",2009,56,"  0.113"
"948",2010,56,"  0.173"
"949",2011,56,"  0.124"
"950",2012,56,"  0.363"
"951",2013,56,"  0.374"
"952",NA,56,NA
"953",NA,57,"Баймак"
"954",1999,57,"  0.577"
"955",2000,57,"  0.297"
"956",2001,57," 0.326"
"957",2002,57,"  0.148"
"958",2003,57,"  0.192"
"959",2004,57,"  0.162"
"960",2005,57,"  0.142"
"961",2006,57,"  0.120"
"962",2007,57,"  0.099"
"963",2008,57,"  0.092"
"964",2009,57,"  0.100"
"965",2010,57,"  0.084"
"966",2011,57,"  0.181"
"967",2012,57,"  0.085"
"968",2013,57,"  0.076"
"969",NA,57,NA
"970",NA,58,"г.Белебей"
"971",1999,58,"  1.992"
"972",2000,58,"  2.206"
"973",2001,58," 2.123"
"974",2002,58,"  2.303"
"975",2003,58,"  2.042"
"976",2004,58,"  1.672"
"977",2005,58,"  2.468"
"978",2006,58,"  1.465"
"979",2007,58,"  1.327"
"980",2008,58,"  1.185"
"981",2009,58,"  1.033"
"982",2010,58,"  0.895"
"983",2011,58,"  0.948"
